datetime,symbol,open,high,low,close,volume,open_interest,money
2026-07-20,DEMO_INDEX,100,103,99,102,1000,5000,102000
2026-07-21,DEMO_INDEX,102,104,101,103,1100,5050,113300
2026-07-22,DEMO_INDEX,103,105,100,101,1200,5100,121200
2026-07-23,DEMO_INDEX,101,103,99,102,1050,5080,107100
2026-07-24,DEMO_INDEX,102,106,101,105,1300,5200,136500
2026-07-27,DEMO_INDEX,105,107,103,104,1250,5180,130000
2026-07-28,DEMO_INDEX,104,108,103,107,1400,5250,149800
2026-07-29,DEMO_INDEX,107,109,105,106,1350,5230,143100
2026-07-30,DEMO_INDEX,106,110,105,109,1500,5300,163500
2026-07-31,DEMO_INDEX,109,112,108,111,1600,5400,177600
